"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"27.08.2012","13.1923","13.1797","13.2280","13.1574","0.17"
"28.08.2012","13.1890","13.1936","13.2386","13.1625","-0.03"
"29.08.2012","13.3035","13.1964","13.3304","13.1875","0.87"
"30.08.2012","13.3493","13.2980","13.4397","13.2960","0.34"
"31.08.2012","13.1925","13.3488","13.3758","13.1812","-1.17"
"03.09.2012","13.1867","13.2047","13.2438","13.1782","-0.04"
"04.09.2012","13.1791","13.1840","13.2070","13.1310","-0.06"
"05.09.2012","13.1143","13.1821","13.2465","13.1005","-0.49"
"06.09.2012","13.0576","13.1175","13.1440","13.0247","-0.43"
"07.09.2012","12.9815","13.0637","13.0906","12.9498","-0.58"
"10.09.2012","13.0840","12.9695","13.0895","12.9547","0.79"
"11.09.2012","12.9895","13.0770","13.0863","12.9740","-0.72"
"12.09.2012","13.0155","12.9820","13.0724","12.9422","0.20"
"13.09.2012","12.8153","13.0168","13.0463","12.8059","-1.54"
"14.09.2012","12.7151","12.8117","12.8355","12.7003","-0.78"
"17.09.2012","12.7691","12.7246","12.8276","12.7142","0.42"
"18.09.2012","12.7965","12.7657","12.8552","12.7532","0.21"
"19.09.2012","12.8573","12.7948","12.8667","12.7760","0.48"
"20.09.2012","12.8580","12.8625","12.9584","12.8320","0.01"
"21.09.2012","12.8540","12.8580","12.8995","12.8030","-0.03"
"24.09.2012","12.9146","12.8676","12.9515","12.8412","0.47"
"25.09.2012","12.8613","12.9163","12.9497","12.7980","-0.41"
"26.09.2012","12.8697","12.8575","12.9448","12.8498","0.07"
"27.09.2012","12.8288","12.8699","12.8999","12.8005","-0.32"
"28.09.2012","12.8594","12.8242","12.8895","12.8086","0.24"
"01.10.2012","12.8278","12.8662","12.9082","12.7895","-0.25"
"02.10.2012","12.8558","12.8272","12.8930","12.8048","0.22"
"03.10.2012","12.8189","12.8545","12.8962","12.8120","-0.29"
"04.10.2012","12.7600","12.8170","12.8402","12.7266","-0.46"
"05.10.2012","12.7948","12.7646","12.8283","12.6616","0.27"
"08.10.2012","12.7992","12.7771","12.8845","12.7771","0.03"
"09.10.2012","12.8773","12.7968","12.9132","12.7660","0.61"
"10.10.2012","12.9763","12.8832","12.9878","12.8468","0.77"
"11.10.2012","12.9126","12.9677","13.0003","12.8637","-0.49"
"12.10.2012","12.8730","12.9020","12.9325","12.8480","-0.31"
"15.10.2012","12.8045","12.8620","12.9057","12.7943","-0.53"
"16.10.2012","12.8353","12.8020","12.8668","12.7630","0.24"
"17.10.2012","12.7875","12.8350","12.8501","12.7690","-0.37"
"18.10.2012","12.8435","12.7943","12.8814","12.7805","0.44"
"19.10.2012","12.8872","12.8374","12.8925","12.8299","0.34"
"22.10.2012","12.8565","12.8863","12.9155","12.8365","-0.24"
"23.10.2012","12.9740","12.8570","13.0150","12.8515","0.91"
"24.10.2012","12.9942","12.9722","13.0502","12.9370","0.16"
"25.10.2012","13.0144","12.9927","13.0412","12.9096","0.16"
"26.10.2012","12.9909","13.0140","13.0793","12.9660","-0.18"
"29.10.2012","13.0729","13.0024","13.1085","12.9965","0.63"
"30.10.2012","13.0746","13.0809","13.1187","13.0394","0.01"
"31.10.2012","13.0994","13.0660","13.1073","13.0230","0.19"
"01.11.2012","13.0068","13.0922","13.1137","13.0027","-0.71"
"02.11.2012","13.0398","13.0070","13.0427","12.9261","0.25"
"05.11.2012","13.0420","13.0250","13.0740","13.0244","0.02"
"06.11.2012","12.9611","13.0385","13.0439","12.9295","-0.62"
"07.11.2012","13.0715","12.9677","13.0858","12.9045","0.85"
"08.11.2012","13.1789","13.0707","13.1826","13.0507","0.82"
"09.11.2012","13.1990","13.1760","13.2960","13.1320","0.15"
"12.11.2012","13.2135","13.1950","13.2370","13.1620","0.11"
"13.11.2012","13.2475","13.2107","13.2903","13.1790","0.26"
"14.11.2012","13.2755","13.2442","13.2868","13.1665","0.21"
"15.11.2012","13.2089","13.2756","13.2881","13.2035","-0.50"
"16.11.2012","13.1325","13.2110","13.2688","13.1266","-0.58"
"19.11.2012","13.0555","13.1320","13.1320","13.0525","-0.59"
"20.11.2012","13.0042","13.0581","13.0995","12.9952","-0.39"
"21.11.2012","13.0600","13.0026","13.0664","12.9955","0.43"
"22.11.2012","13.0325","13.0541","13.0621","12.9891","-0.21"
"23.11.2012","12.9525","13.0369","13.0468","12.9495","-0.61"
"26.11.2012","13.0198","12.9475","13.0235","12.9435","0.52"
"27.11.2012","13.0402","13.0133","13.0481","12.9579","0.16"
"28.11.2012","12.9725","13.0385","13.0819","12.9663","-0.52"
"29.11.2012","12.9472","12.9707","12.9959","12.9281","-0.20"
"30.11.2012","12.9503","12.9468","12.9597","12.8994","0.02"
"03.12.2012","12.9973","12.9538","12.9983","12.8778","0.36"
"04.12.2012","12.9473","12.9951","13.0060","12.9200","-0.38"
"05.12.2012","12.9276","12.9405","12.9634","12.9031","-0.15"
"06.12.2012","12.8702","12.9252","12.9368","12.8593","-0.44"
"07.12.2012","12.8495","12.8697","12.9079","12.8090","-0.16"
"10.12.2012","12.8090","12.8624","12.8624","12.7817","-0.32"
"11.12.2012","12.7365","12.8055","12.8185","12.7287","-0.57"
"12.12.2012","12.7425","12.7392","12.7757","12.6877","0.05"
"13.12.2012","12.7986","12.7460","12.8540","12.7206","0.44"
"14.12.2012","12.7413","12.8045","12.8345","12.7413","-0.45"
"17.12.2012","12.7204","12.7368","12.7957","12.7172","-0.16"
"18.12.2012","12.7188","12.7192","12.7527","12.7029","-0.01"
"19.12.2012","12.7664","12.7155","12.7693","12.6866","0.37"
"20.12.2012","12.7613","12.7676","12.8018","12.7355","-0.04"
"21.12.2012","12.9274","12.7693","12.9627","12.7546","1.30"
"24.12.2012","12.9751","12.9353","13.0449","12.9300","0.37"
"25.12.2012","12.9933","12.9750","13.0000","12.9750","0.14"
"26.12.2012","13.0156","12.9900","13.0429","12.9410","0.17"
"27.12.2012","12.9787","13.0152","13.0422","12.9409","-0.28"
"28.12.2012","13.0250","12.9790","13.0425","12.9640","0.36"
"31.12.2012","12.8657","13.0169","13.0523","12.8388","-1.22"
"01.01.2013","12.8747","12.8657","12.8800","12.8657","0.07"
"02.01.2013","12.7465","12.8750","12.9125","12.7285","-1.00"
"03.01.2013","12.8052","12.7463","12.8158","12.7344","0.46"
"04.01.2013","12.7425","12.8065","12.8360","12.7375","-0.49"
"07.01.2013","12.7681","12.7308","12.7888","12.7240","0.20"
"08.01.2013","12.8035","12.7640","12.8152","12.7360","0.28"
"09.01.2013","12.7224","12.8000","12.8096","12.7090","-0.63"
"10.01.2013","12.6070","12.7127","12.7310","12.6045","-0.91"
"11.01.2013","12.6516","12.6110","12.6710","12.5827","0.35"
"14.01.2013","12.5937","12.6365","12.6815","12.5783","-0.46"
"15.01.2013","12.6108","12.5944","12.6973","12.5859","0.14"
"16.01.2013","12.6218","12.6125","12.6853","12.6003","0.09"
"17.01.2013","12.5865","12.6200","12.6445","12.5520","-0.28"
"18.01.2013","12.6625","12.5840","12.6875","12.5690","0.60"
"21.01.2013","12.7000","12.6686","12.7250","12.6555","0.30"
"22.01.2013","12.6189","12.6907","12.7137","12.6140","-0.64"
"23.01.2013","12.6935","12.6204","12.7035","12.6126","0.59"
"24.01.2013","12.6359","12.6913","12.7177","12.6077","-0.45"
"25.01.2013","12.7065","12.6330","12.7465","12.6103","0.56"
"28.01.2013","12.7672","12.6918","12.7969","12.6766","0.48"
"29.01.2013","12.7177","12.7688","12.7768","12.6882","-0.39"
"30.01.2013","12.7187","12.7125","12.7635","12.6758","0.01"
"31.01.2013","12.7088","12.7218","12.7547","12.6593","-0.08"
"01.02.2013","12.6062","12.7074","12.7667","12.5823","-0.81"
"04.02.2013","12.7108","12.5907","12.7222","12.5907","0.83"
"05.02.2013","12.6318","12.7095","12.7194","12.6058","-0.62"
"06.02.2013","12.6822","12.6326","12.7113","12.6249","0.40"
"07.02.2013","12.7291","12.6817","12.7758","12.6373","0.37"
"08.02.2013","12.7245","12.7255","12.7560","12.7000","-0.04"
"11.02.2013","12.7342","12.7275","12.8162","12.7233","0.08"
"12.02.2013","12.6929","12.7307","12.7902","12.6883","-0.32"
"13.02.2013","12.6860","12.7010","12.7330","12.6525","-0.05"
"14.02.2013","12.6963","12.6850","12.7495","12.6693","0.08"
"15.02.2013","12.6903","12.7027","12.7277","12.6660","-0.05"
"18.02.2013","12.6853","12.6715","12.7045","12.6665","-0.04"
"19.02.2013","12.6325","12.6866","12.7125","12.6275","-0.42"
"20.02.2013","12.7254","12.6314","12.7395","12.6213","0.74"
"21.02.2013","12.7462","12.7238","12.8038","12.7163","0.16"
"22.02.2013","12.7050","12.7525","12.7805","12.6830","-0.32"
"25.02.2013","12.7990","12.6928","12.8142","12.6510","0.74"
"26.02.2013","12.8427","12.7970","12.8991","12.7608","0.34"
"27.02.2013","12.7646","12.8392","12.8902","12.7532","-0.61"
"28.02.2013","12.7791","12.7640","12.7988","12.7330","0.11"
"01.03.2013","12.7587","12.7803","12.8719","12.7488","-0.16"
"04.03.2013","12.7455","12.7522","12.8275","12.7383","-0.10"
"05.03.2013","12.7024","12.7424","12.7629","12.6894","-0.34"
"06.03.2013","12.7825","12.7027","12.7916","12.6684","0.63"
"07.03.2013","12.7590","12.7805","12.8090","12.7450","-0.18"
